Película;Año;Imdb Score
The Namesake;2006;7,6
Escape from Alcatraz;1979;7,6
The Piano;1993;7,6
A Single Man;2009;7,6
The Last Temptation of Christ;1988;7,6
High Plains Drifter;1973;7,6
Headhunters;2011;7,6
Saint Ralph;2004;7,6
Lone Star;1996;7,6
Tucker and Dale vs Evil;2010;7,6
Whale Rider;2002;7,6
Waiting for Guffman;1996;7,6
1776;1972;7,6
The Nun's Story;1959;7,6
March of the Penguins;2005;7,6
Animal House;1978;7,6
The Omen;1976;7,6
Saving Face;2004;7,6
My Life Without Me;2003;7,6
Fuel;2008;7,6
Elling;2001;7,6
Mad Max 2: The Road Warrior;1981;7,6
The Legend of Drunken Master;1994;7,6
Boys Don't Cry;1999;7,6
Spellbound;1945;7,6
The Gatekeepers;2012;7,6
Me You and Five Bucks;2015;7,6
The Algerian;2014;7,6
Antarctica: A Year on Ice;2013;7,6
Beyond the Mat;1999;7,6
As It Is in Heaven;2004;7,6
The Evil Dead;1981;7,6
Ayurveda: Art of Being;2001;7,6
The Past is a Grotesque Animal;2014;7,6
Smiling Fish & Goat on Fire;1999;7,6
Harry Potter and the Half-Blood Prince;2009;7,5
Harry Potter and the Order of the Phoenix;2007;7,5
Harry Potter and the Deathly Hallows: Part II;2011;7,5
Harry Potter and the Sorcerer's Stone;2001;7,5
X-Men 2;2003;7,5
Total Recall;1990;7,5
Scott Pilgrim vs. the World;2010;7,5
Total Recall;1990;7,5
Perfume: The Story of a Murderer;2006;7,5
The Life of David Gale;2003;7,5
Sleepers;1996;7,5
Pinocchio;1940;7,5
Bram Stoker's Dracula;1992;7,5
A Nightmare on Elm Street;1984;7,5
Biutiful;2010;7,5
Reds;1981;7,5
The Curse of the Were-Rabbit;2005;7,5
The Assassination of Jesse James by the Coward Robert Ford;2007;7,5
Miracle;2004;7,5
Open Range;2003;7,5
Elizabeth;1998;7,5
Tora! Tora! Tora!;1970;7,5
The Bridges of Madison County;1995;7,5
Freedom Writers;2007;7,5
Reign Over Me;2007;7,5
Bullets Over Broadway;1994;7,5
Equilibrium;2002;7,5
The Painted Veil;2006;7,5
The Ice Storm;1997;7,5
A Simple Plan;1998;7,5
Coal Miner's Daughter;1980;7,5
Beetlejuice;1988;7,5
Three Burials;2005;7,5
