Película;Año;Imdb Score
Some Guy Who Kills People;2011;6,4
Compliance;2012;6,4
Love and Other Catastrophes;1996;6,4
The Grace Card;2010;6,4
Gabriela;1983;6,4
Funny Ha Ha;2002;6,4
Newlyweds;2011;6,4
Jack the Giant Slayer;2013;6,3
Transformers: Dark of the Moon;2011;6,3
Beowulf;2007;6,3
Teenage Mutant Ninja Turtles: Out of the Shadows;2016;6,3
The Mummy Returns;2001;6,3
Twister;1996;6,3
Robots;2005;6,3
Surrogates;2009;6,3
Wall Street: Money Never Sleeps;2010;6,3
Dracula Untold;2014;6,3
The Siege;1998;6,3
Hart's War;2002;6,3
Meet the Fockers;2004;6,3
The General's Daughter;1999;6,3
The Jackal;1997;6,3
Paycheck;2003;6,3
Alien: Resurrection;1997;6,3
Intolerable Cruelty;2003;6,3
After the Sunset;2004;6,3
Tango & Cash;1989;6,3
Gods and Generals;2003;6,3
Don't Say a Word;2001;6,3
Gremlins 2: The New Batch;1990;6,3
Assassins;1995;6,3
The Adventures of Ford Fairlane;1990;6,3
Tin Cup;1996;6,3
The River Wild;1994;6,3
Johnny English Reborn;2011;6,3
High Crimes;2002;6,3
The Warrior's Way;2010;6,3
The Deep End of the Ocean;1999;6,3
In & Out;1997;6,3
The Cell;2000;6,3
Femme Fatale;2002;6,3
Thunder and the House of Magic;2013;6,3
Transporter 2;2005;6,3
Repo Men;2010;6,3
Criminal;2016;6,3
Moonraker;1979;6,3
Arachnophobia;1990;6,3
Hope Springs;2012;6,3
A View to a Kill;1985;6,3
Assault on Precinct 13;2005;6,3
Along Came a Spider;2001;6,3
Formula 51;2001;6,3
Snow White: A Tale of Terror;1997;6,3
Mr. Bean's Holiday;2007;6,3
War;2007;6,3
A Perfect Plan;2012;6,3
Nurse Betty;2000;6,3
Forsaken;2015;6,3
Hardball;2001;6,3
The Tigger Movie;2000;6,3
The American;2010;6,3
One Night with the King;2006;6,3
Triple 9;2016;6,3
Connie and Carla;2004;6,3
Kansas City;1996;6,3
Peggy Sue Got Married;1986;6,3
Forsaken;2015;6,3
Hitman;2007;6,3
Beerfest;2006;6,3
You Will Meet a Tall Dark Stranger;2010;6,3
Crazy in Alabama;1999;6,3
Wild Grass;2009;6,3
Under the Skin;2013;6,3
The Astronaut Farmer;2006;6,3
Chloe;2009;6,3
Barbershop;2002;6,3
Young Adult;2011;6,3
For Your Consideration;2006;6,3
Celebrity;1998;6,3
Out Cold;2001;6,3
Romance & Cigarettes;2005;6,3
The Blue Butterfly;2004;6,3
Devil;2010;6,3
Very Bad Things;1998;6,3
Cedar Rapids;2011;6,3
Krrish;2006;6,3
Edmond;2005;6,3
Adam Resurrected;2008;6,3
The Boondock Saints II: All Saints Day;2009;6,3
The Land Girls;1998;6,3
Code 46;2003;6,3
A Dog of Flanders;1999;6,3
March or Die;1977;6,3
Somewhere;2010;6,3
Bran Nue Dae;2009;6,3
Deadfall;2012;6,3
Grabbers;2012;6,3
Lone Wolf McQuade;1983;6,3
Force 10 from Navarone;1978;6,3
Party Monster;2003;6,3
Topaz;1969;6,3
Psycho Beach Party;2000;6,3
The Big Tease;1999;6,3
An Everlasting Piece;2000;6,3
A Lonely Place to Die;2011;6,3
Nothing;2003;6,3
How to Fall in Love;2012;6,3
Letters to God;2010;6,3
Escape from the Planet of the Apes;1971;6,3
Antibirth;2016;6,3
Lies in Plain Sight;2010;6,3
Highway;2002;6,3
Abandoned;2015;6,3
Higher Ground;2011;6,3
Living Dark: The Story of Ted the Caver;2013;6,3
I Spit on Your Grave;2010;6,3
My Name Is Bruce;2007;6,3
Once Upon a Time in Queens;2013;6,3
The Blue Room;2014;6,3
16 to Life;2009;6,3
Kill List;2011;6,3
The Sisterhood of Night;2014;6,3
Water & Power;2013;6,3
Paranormal Activity;2007;6,3
The Broadway Melody;1929;6,3
The Sticky Fingers of Time;1997;6,3
Tadpole;2000;6,3
Supporting Characters;2012;6,3
Tiny Furniture;2010;6,3
The Exploding Girl;2009;6,3
Rampage;2009;6,3
Cavite;2005;6,3
A Plague So Pleasant;2013;6,3
Shanghai Calling;2012;6,3
Rush Hour 3;2007;6,2
Bee Movie;2007;6,2
The Saint;1997;6,2
Open Season;2006;6,2
Last Action Hero;1993;6,2
Wolf;1994;6,2
Osmosis Jones;2001;6,2
Proof of Life;2000;6,2
Austin Powers in Goldmember;2002;6,2
Duplicity;2009;6,2
Flightplan;2005;6,2
All the King's Men;2006;6,2
Shanghai Knights;2003;6,2
Hannibal Rising;2007;6,2
Mad City;1997;6,2
Beautiful Creatures;2013;6,2
Miss Congeniality;2000;6,2
Scream 4;2011;6,2
Fever Pitch;2005;6,2
The Magic Sword: Quest for Camelot;1998;6,2
City Hall;1996;6,2
Alfie;2004;6,2
Impostor;2001;6,2
Hackers;1995;6,2
Never Say Never Again;1983;6,2
Sky High;2005;6,2
The Ladykillers;2004;6,2
Mirrors;2008;6,2
Predator 2;1990;6,2
Untraceable;2008;6,2
Jersey Girl;2004;6,2
Parker;2013;6,2
Lions for Lambs;2007;6,2
Stigmata;1999;6,2
The Princess Diaries;2001;6,2
The First Wives Club;1996;6,2
Deliver Us from Evil;2014;6,2
Case 39;2009;6,2
The Statement;2003;6,2
Final Destination 2;2003;6,2
Mrs. Winterbourne;1996;6,2
Ironclad;2011;6,2
The Men Who Stare at Goats;2009;6,2
Muppets from Space;1999;6,2
Chéri;2009;6,2
Vanity Fair;2004;6,2
The Game Plan;2007;6,2
Darling Lili;1970;6,2
Bill & Ted's Bogus Journey;1991;6,2
Man of the Year;2006;6,2
Willard;2003;6,2
The Game of Their Lives;2005;6,2
Three Kingdoms: Resurrection of the Dragon;2008;6,2
Firestorm;2013;6,2
Land of the Dead;2005;6,2
Legally Blonde;2001;6,2
One Man's Hero;1999;6,2
Red Lights;2012;6,2
Good;2008;6,2
Krampus;2015;6,2
The Craft;1996;6,2
Killing Them Softly;2012;6,2
Idlewild;2006;6,2
Idle Hands;1999;6,2
Ong-bak 2;2008;6,2
Freedom;2014;6,2
Casino Jack;2010;6,2
How High;2001;6,2
Running with Scissors;2006;6,2
A Tale of Three Cities;2015;6,2
The Perez Family;1995;6,2
Machine Gun McCain;1969;6,2
Saw III;2006;6,2
Mad Max Beyond Thunderdome;1985;6,2
Kung Pow: Enter the Fist;2002;6,2
Cecil B. DeMented;2000;6,2
Illuminata;1998;6,2
Coriolanus;2011;6,2
High Heels and Low Lifes;2001;6,2
Gracie;2007;6,2
Princess Kaiulani;2009;6,2
Splash;1984;6,2
Warlock;1989;6,2
Bride & Prejudice;2004;6,2
Split Second;1992;6,2
Dom Hemingway;2013;6,2
Gerry;2002;6,2
The Adventures of Huck Finn;1993;6,2
Mr. Nice Guy;1997;6,2
Mystic Pizza;1988;6,2
Come Early Morning;2006;6,2
Lucky Break;2001;6,2
Animals;2014;6,2
Dum Maaro Dum;2011;6,2
April Fool's Day;1986;6,2
The Beastmaster;1982;6,2
Solomon and Sheba;1959;6,2
Jekyll and Hyde... Together Again;1982;6,2
Tycoon;1947;6,2
Desert Blue;1998;6,2
The Visit;2015;6,2
Redacted;2007;6,2
The Cottage;2008;6,2
Treading Water;2013;6,2
Cargo;2009;6,2
Porky's;1981;6,2
Red State;2011;6,2
The Eclipse;2009;6,2
The Deported;2009;6,2
Iguana;1988;6,2
Chicago Overcoat;2009;6,2
The Other End of the Line;2008;6,2
The Missing Person;2009;6,2
I Want Someone to Eat Cheese With;2006;6,2
The Hebrew Hammer;2003;6,2
Certifiably Jonathan;2007;6,2
Airborne;1993;6,2
Beyond the Valley of the Dolls;1970;6,2
Love Me Tender;1956;6,2
Fiza;2000;6,2
Orgazmo;1997;6,2
Jimmy and Judy;2006;6,2
Vessel;2012;6,2
Finishing the Game: The Search for a New Bruce Lee;2007;6,2
The Toxic Avenger;1984;6,2
Poultrygeist: Night of the Chicken Dead;2006;6,2
Death Race 2000;1975;6,2
The Christmas Bunny;2010;6,2
Shooting the Warwicks;2015;6,2
Breaking Upwards;2009;6,2
Superman Returns;2006;6,1
Waterworld;1995;6,1
Snow White and the Huntsman;2012;6,1
Shrek the Third;2007;6,1
Die Another Day;2002;6,1
Fun with Dick and Jane;2005;6,1
Speed Racer;2008;6,1
Eraser;1996;6,1
The Devil's Own;1997;6,1
Deep Impact;1998;6,1
Bedtime Stories;2008;6,1
Flight of the Phoenix;2004;6,1
Sucker Punch;2011;6,1
Sky Captain and the World of Tomorrow;2004;6,1
The Kid;2000;6,1
Dragon Blade;2015;6,1
Up Close & Personal;1996;6,1
The Tale of Despereaux;2008;6,1
Practical Magic;1998;6,1
The Sentinel;2006;6,1
Planet 51;2009;6,1
Mercury Rising;1998;6,1
Dragonfly;2002;6,1
Inkheart;2008;6,1
Hansel & Gretel: Witch Hunters;2013;6,1
Dick Tracy;1990;6,1
Johnny English;2003;6,1
Shall We Dance;2004;6,1
Small Soldiers;1998;6,1
Renaissance Man;1994;6,1
Extreme Measures;1996;6,1
A Man Apart;2003;6,1
Heist;2015;6,1
Nanny McPhee Returns;2010;6,1
The Good German;2006;6,1
Rugrats in Paris: The Movie;2000;6,1
13 Going on 30;2004;6,1
Message in a Bottle;1999;6,1
Larry Crowne;2011;6,1
The Replacement Killers;1998;6,1
Antitrust;2001;6,1
Captain Alatriste: The Spanish Musketeer;2006;6,1
Blood and Wine;1996;6,1
Parental Guidance;2012;6,1
Romeo Must Die;2000;6,1
Money Talks;1997;6,1
Lifeforce;1985;6,1
A Turtle's Tale: Sammy's Adventures;2010;6,1
Scream 2;1997;6,1
The Waterboy;1998;6,1
Someone Like You...;2001;6,1
Swing Vote;2008;6,1
Lakeview Terrace;2008;6,1
Eye for an Eye;1996;6,1
Vampires;1998;6,1
Lockout;2012;6,1
Undisputed;2002;6,1
Three to Tango;1999;6,1
Birth;2004;6,1
The Tailor of Panama;2001;6,1
Private Benjamin;1980;6,1
The Wedding Date;2005;6,1
Knockaround Guys;2001;6,1
The Midnight Meat Train;2008;6,1
Save the Last Dance;2001;6,1
Loaded Weapon 1;1993;6,1
This Christmas;2007;6,1
The Big Hit;1998;6,1
Two Can Play That Game;2001;6,1
Dick;1999;6,1
Birthday Girl;2001;6,1
The Killer Inside Me;2010;6,1
Cat People;1982;6,1
Space Battleship Yamato;2010;6,1
The Purge: Election Year;2016;6,1
Jeepers Creepers;2001;6,1
Insidious: Chapter 3;2015;6,1
Wrong Turn;2003;6,1
The Collection;2012;6,1
Next Friday;2000;6,1
Gentlemen Broncos;2009;6,1
Two Evil Eyes;1990;6,1
Barbecue;2014;6,1
Heist;2015;6,1
The I Inside;2004;6,1
In Too Deep;1999;6,1
Tales from the Hood;1995;6,1
Snow Flower and the Secret Fan;2011;6,1
Not Easily Broken;2009;6,1
Albino Alligator;1996;6,1
Dead Like Me: Life After Death;2009;6,1
The Sweeney;2012;6,1
Futuro Beach;2014;6,1
The Betrayed;2008;6,1
August;2011;6,1
Beneath the Planet of the Apes;1970;6,1
Hobo with a Shotgun;2011;6,1
Griff the Invisible;2010;6,1
Anatomy;2000;6,1
Grave Encounters;2011;6,1
Small Apartments;2012;6,1
Ed and His Dead Mother;1993;6,1
Conquest of the Planet of the Apes;1972;6,1
Grace Unplugged;2013;6,1
Road Hard;2015;6,1
Mercury Rising;1998;6,1
Friday the 13th Part 2;1981;6,1
Down and Out with the Dolls;2001;6,1
Grand Theft Parsons;2003;6,1
Beyond the Black Rainbow;2010;6,1
Lake Mungo;2008;6,1
The Battle of Shaker Heights;2003;6,1
Safe Men;1998;6,1
Alone with Her;2006;6,1
Childless;2008;6,1
Love Letters;1983;6,1
Benji;1974;6,1
The Dark Hours;2005;6,1
Maniac;2012;6,1
Sugar Town;1999;6,1
Cat People;1982;6,1
The Signal;2014;6,1
Pink Flamingos;1972;6,1
On the Downlow;2004;6,1
How the Grinch Stole Christmas;2000;6,0
Windtalkers;2002;6,0
The Alamo;2004;6,0
The Fast and the Furious: Tokyo Drift;2006;6,0
The Postman;1997;6,0
The Last Witch Hunter;2015;6,0
Arthur and the Invisibles;2006;6,0
Soldier;1998;6,0
Carriers;2009;6,0
Sphere;1998;6,0
The SpongeBob Movie: Sponge Out of Water;2015;6,0
S.W.A.T.;2003;6,0
Mystery Men;1999;6,0
Broken Arrow;1996;6,0
World Trade Center;2006;6,0
Righteous Kill;2008;6,0
Xi you ji zhi: Sun Wukong san da Baigu Jing;2016;6,0
Leatherheads;2008;6,0
Disclosure;1994;6,0
Mr. Popper's Penguins;2011;6,0
The Hunted;2003;6,0
Dream House;2011;6,0
Bedazzled;2000;6,0
The Cable Guy;1996;6,0
Multiplicity;1996;6,0
Deep Rising;1998;6,0
28 Days;2000;6,0
Medicine Man;1992;6,0
The Shadow;1994;6,0
Nomad: The Warrior;2005;6,0
Nim's Island;2008;6,0
Krull;1983;6,0
American Outlaws;2001;6,0
Punisher: War Zone;2008;6,0
Pushing Tin;1999;6,0
Doomsday;2008;6,0
Baby Mama;2008;6,0
1911;2011;6,0
Divine Secrets of the Ya-Ya Sisterhood;2002;6,0
The Newton Boys;1998;6,0
Kindergarten Cop;1990;6,0
Original Sin;2001;6,0
Jimmy Neutron: Boy Genius;2001;6,0
Teenage Mutant Ninja Turtles II: The Secret of the Ooze;1991;6,0
Ice Princess;2005;6,0
Harley Davidson and the Marlboro Man;1991;6,0
For Colored Girls;2010;6,0
We're No Angels;1989;6,0
Les couloirs du temps: Les visiteurs II;1998;6,0
City of Ghosts;2002;6,0
Duets;2000;6,0
Twins;1988;6,0
Firestarter;1984;6,0
Winnie Mandela;2011;6,0
Bathory: Countess of Blood;2008;6,0
Dead Man on Campus;1998;6,0
The Caveman's Valentine;2001;6,0
Light It Up;1999;6,0
Quarantine;2008;6,0
The Alamo;2004;6,0
Critical Care;1997;6,0
The Cry of the Owl;2009;6,0
Saw VI;2009;6,0
Raising Cain;1992;6,0
Kabhi Alvida Naa Kehna;2006;6,0
Roll Bounce;2005;6,0
The Corruptor;1999;6,0
Plastic;2014;6,0
The Girl on the Train;2009;6,0
Valley of the Wolves: Iraq;2006;6,0
Showdown in Little Tokyo;1991;6,0
Pathology;2008;6,0
The Hotel New Hampshire;1984;6,0
Men with Brooms;2002;6,0
House of 1000 Corpses;2003;6,0
Ca$h;2010;6,0
Alpha and Omega 4: The Legend of the Saw Toothed Cave;2014;6,0
Saving Private Perez;2011;6,0
Let's Go to Prison;2006;6,0
Another Happy Day;2011;6,0
Desert Dancer;2014;6,0
Creepshow 2;1987;6,0
Kama Sutra: A Tale of Love;1996;6,0
Beer League;2006;6,0
Jack Brooks: Monster Slayer;2007;6,0
The Torture Chamber of Dr. Sadism;1967;6,0
Forty Shades of Blue;2005;6,0
Home Run;2013;6,0
Blue Like Jazz;2012;6,0
Godzilla 2000;1999;6,0
The Specials;2000;6,0
Never Again;2001;6,0
Show Me;2004;6,0
Baghead;2008;6,0
Counting;2015;6,0
Night at the Museum: Battle of the Smithsonian;2009;5,9
Happy Feet 2;2011;5,9
Stuart Little;1999;5,9
The 6th Day;2000;5,9
The Time Machine;2002;5,9
The Legend of Zorro;2005;5,9
The Brothers Grimm;2005;5,9
The Invasion;2007;5,9
Vertical Limit;2000;5,9
First Knight;1995;5,9
Snake Eyes;1998;5,9
Rock of Ages;2012;5,9
Hall Pass;2011;5,9
Abraham Lincoln: Vampire Hunter;2012;5,9
Blade: Trinity;2004;5,9
3000 Miles to Graceland;2001;5,9
Wild Hogs;2007;5,9
Days of Thunder;1990;5,9
Analyze That;2002;5,9
Red Tails;2012;5,9
Captain Corelli's Mandolin;2001;5,9
Free Birds;2013;5,9
Shaft;2000;5,9
Beloved;1998;5,9
Lucky You;2007;5,9
The Peacemaker;1997;5,9
Bridget Jones: The Edge of Reason;2004;5,9
The Story of Us;1999;5,9
Baby's Day Out;1994;5,9
The Indian in the Cupboard;1995;5,9
The Ant Bully;2006;5,9
Shallow Hal;2001;5,9
Escape from Planet Earth;2013;5,9
Legal Eagles;1986;5,9
Final Destination 5;2011;5,9
At First Sight;1999;5,9
Kiss of Death;1995;5,9
Memoirs of an Invisible Man;1992;5,9
There Be Dragons;2011;5,9
Must Love Dogs;2005;5,9
Something Borrowed;2011;5,9
The X Files: I Want to Believe;2008;5,9
1941;1979;5,9
Laws of Attraction;2004;5,9
Hope Floats;1998;5,9
Without a Paddle;2004;5,9
The Prince and Me;2004;5,9
Sanctum;2011;5,9
The Rugrats Movie;1998;5,9
Suspect Zero;2004;5,9
Hide and Seek;2005;5,9
The Ruins;2008;5,9
The Possession;2012;5,9
Stone Cold;1991;5,9
Saving Silverman;2001;5,9
Firefox;1982;5,9
Premonition;2007;5,9
The Black Hole;1979;5,9
Nancy Drew;2007;5,9
My Best Friend's Girl;2008;5,9
Georgia Rule;2007;5,9
School for Scoundrels;2006;5,9
9½ Weeks;1986;5,9
The Wraith;1986;5,9
My Life in Ruins;2009;5,9
The Texas Chainsaw Massacre: The Beginning;2006;5,9
Joe Dirt;2001;5,9
Slow Burn;2005;5,9
3 Men and a Baby;1987;5,9
Raise Your Voice;2004;5,9
The Good Night;2007;5,9
The Possession;2012;5,9
Poetic Justice;1993;5,9
Gossip;2000;5,9
The New Guy;2002;5,9
Harriet the Spy;1996;5,9
Faithful;1996;5,9
The Golden Child;1986;5,9
Katy Perry: Part of Me;2012;5,9
Fortress;1992;5,9
Saw IV;2007;5,9
The Grudge;2004;5,9
The Fourth Kind;2009;5,9
Sugar Hill;1993;5,9
Reno 911!: Miami;2007;5,9
Hey Arnold! The Movie;2002;5,9
Barbarella;1968;5,9
The Death and Life of Bobby Z;2007;5,9
The Extra Man;2010;5,9
200 Cigarettes;1999;5,9
Don McKay;2009;5,9
Halloween 4: The Return of Michael Myers;1988;5,9
Digimon: The Movie;2000;5,9
Hostel;2005;5,9
Savage Grace;2007;5,9
After.Life;2009;5,9
The Night Listener;2006;5,9
Prison;1987;5,9
Among Giants;1998;5,9
Jason Lives: Friday the 13th Part VI;1986;5,9
Next Day Air;2009;5,9
Fort McCoy;2011;5,9
Tanner Hall;2009;5,9
Barry Munday;2010;5,9
Friday the 13th: The Final Chapter;1984;5,9
Sleep Dealer;2008;5,9
Redemption Road;2010;5,9
The Last Sin Eater;2007;5,9
Do You Believe?;2015;5,9
Return of the Living Dead III;1993;5,9
From a Whisper to a Scream;1987;5,9
Cry_Wolf;2005;5,9
Circumstance;2011;5,9
Kingdom of the Spiders;1977;5,9
Straight Out of Brooklyn;1991;5,9
G.I. Joe: The Rise of Cobra;2009;5,8
Dante's Peak;1997;5,8
Around the World in 80 Days;2004;5,8
Daylight;1996;5,8
Babe: Pig in the City;1998;5,8
The League of Extraordinary Gentlemen;2003;5,8
xXx;2002;5,8
Battle Los Angeles;2011;5,8
Hard Rain;1998;5,8
Chicken Little;2005;5,8
Deep Blue Sea;1999;5,8
Stuck on You;2003;5,8
The Fan;1996;5,8
Mr. Deeds;2002;5,8
Firewall;2006;5,8
G.I. Jane;1997;5,8
Mary Reilly;1996;5,8
Journey to the Center of the Earth;2008;5,8
All the Pretty Horses;2000;5,8
Brüno;2009;5,8
Cheaper by the Dozen;2003;5,8
Gothika;2003;5,8
Mickey Blue Eyes;1999;5,8
Life or Something Like It;2002;5,8
Duplex;2003;5,8
Just Visiting;2001;5,8
Species;1995;5,8
Splice;2009;5,8
The Borrowers;1997;5,8
Timecop;1994;5,8
Freddy vs. Jason;2003;5,8
Final Destination 3;2006;5,8
Undercover Brother;2002;5,8
Cradle 2 the Grave;2003;5,8
Straw Dogs;2011;5,8
Haywire;2011;5,8
The Net;1995;5,8
The Glass House;2001;5,8
Mad Money;2008;5,8
Molly;1999;5,8
The Best Little Whorehouse in Texas;1982;5,8
Mortal Kombat;1995;5,8
Return to Never Land;2002;5,8
You Again;2010;5,8
Paparazzi;2004;5,8
Zambezia;2012;5,8
Conan the Destroyer;1984;5,8
The Adventures of Elmo in Grouchland;1999;5,8
Just Wright;2010;5,8
Saw V;2008;5,8
September Dawn;2007;5,8
Friday After Next;2002;5,8
A Low Down Dirty Shame;1994;5,8
Teacher's Pet;2004;5,8
Criminal Activities;2015;5,8
Around the World in 80 Days;2004;5,8
School Daze;1988;5,8
Novocaine;2001;5,8
Men of War;1994;5,8
Paranormal Activity 3;2011;5,8
Falcon Rising;2014;5,8
Love Stinks;1999;5,8
The Last Time I Committed Suicide;1997;5,8
The Divide;2011;5,8
Never Back Down 2: The Beatdown;2011;5,8
Christmas Mail;2010;5,8
The Calling;2014;5,8
Chicken Tikka Masala;2005;5,8
Saint John of Las Vegas;2009;5,8
One to Another;2006;5,8
Amigo;2010;5,8
Johnny Suede;1991;5,8
Insomnia Manica;2005;5,8
Fabled;2002;5,8
The Calling;2014;5,8
Penitentiary;1979;5,8
Absentia;2011;5,8
End of Days;1999;5,7
Lara Croft: Tomb Raider;2001;5,7
Six Days Seven Nights;1998;5,7
Looney Tunes: Back in Action;2003;5,7
Red Planet;2000;5,7
Be Cool;2005;5,7
Hudson Hawk;1991;5,7
Eat Pray Love;2010;5,7
The Relic;1997;5,7
Priest;2011;5,7
Bullet to the Head;2012;5,7
Valentine's Day;2010;5,7
Escape from L.A.;1996;5,7
The Princess Diaries 2: Royal Engagement;2004;5,7
Drillbit Taylor;2008;5,7
The Art of War;2000;5,7
The Last Shot;2004;5,7
Sgt. Bilko;1996;5,7
Reindeer Games;2000;5,7
Flight of the Intruder;1991;5,7
Sabotage;2014;5,7
Bandidas;2006;5,7
George and the Dragon;2004;5,7
Joyful Noise;2012;5,7
What Just Happened;2008;5,7
Love Ranch;2010;5,7
Think Like a Man Too;2014;5,7
The Little Vampire;2000;5,7
Jaws 2;1978;5,7
Armored;2009;5,7
The Nutcracker;1993;5,7
Out of Inferno;2013;5,7
Deuce Bigalow: Male Gigolo;1999;5,7
Barbershop 2: Back in Business;2004;5,7
How to Deal;2003;5,7
Tidal Wave;2009;5,7
Not Another Teen Movie;2001;5,7
The Pirates Who Don't Do Anything: A VeggieTales Movie;2008;5,7
Chiamatemi Francesco - Il Papa della gente;2015;5,7
Broken Horses;2015;5,7
All About the Benjamins;2002;5,7
Thinner;1996;5,7
Jefferson in Paris;1995;5,7
A Nightmare on Elm Street 4: The Dream Master;1988;5,7
Child's Play 2;1990;5,7
Screwed;2000;5,7
The Pursuit of D.B. Cooper;1981;5,7
Brighton Rock;2010;5,7
Sparkle;2012;5,7
Gun Shy;2000;5,7
White Noise 2: The Light;2007;5,7
The Ice Pirates;1984;5,7
Trust the Man;2005;5,7
Skin Trade;2014;5,7
Jumping the Broom;2011;5,7
The 5th Quarter;2010;5,7
Zipper;2015;5,7
Antiviral;2012;5,7
Paranormal Activity 2;2010;5,7
Damsels in Distress;2011;5,7
Diary of the Dead;2007;5,7
Journey to Saturn;2008;5,7
Eye of the Dolphin;2006;5,7
Friday the 13th Part III;1982;5,7
Witchboard;1986;5,7
Stitches;2012;5,7
The Ghastly Love of Johnny X;2012;5,7
Straight A's;2013;5,7
Hatchet;2006;5,7
Eddie: The Sleepwalking Cannibal;2012;5,7
Filly Brown;2012;5,7
Lisa Picard Is Famous;2000;5,7
My Last Day Without You;2011;5,7
Open Water;2003;5,7
Kiss the Bride;2007;5,7
Rodeo Girl;2016;5,7
The Work and the Story;2003;5,7
Sabotage;2014;5,7
Poseidon;2006;5,6
Fantastic 4: Rise of the Silver Surfer;2007;5,6
Cutthroat Island;1995;5,6
Pixels;2015;5,6
Mission to Mars;2000;5,6
The Pink Panther;2006;5,6
Mighty Joe Young;1998;5,6
Timeline;2003;5,6
Lady in the Water;2006;5,6
AVP: Alien vs. Predator;2004;5,6
Bad Company;2002;5,6
Legends of Oz: Dorothy's Return;2013;5,6
Money Train;1995;5,6
The Black Dahlia;2006;5,6
Dark Water;2005;5,6
That's My Boy;2012;5,6
The Nutty Professor;1996;5,6
Chain Reaction;1996;5,6
Imagine That;2009;5,6
Barnyard;2006;5,6
Failure to Launch;2006;5,6
What Planet Are You From?;2000;5,6
Kicking & Screaming;2005;5,6
Babylon A.D.;2008;5,6
The Juror;1996;5,6
Enough;2002;5,6
Angel Eyes;2001;5,6
The Benchwarmers;2006;5,6
Valiant;2005;5,6
I Dreamed of Africa;2000;5,6
Snakes on a Plane;2006;5,6
Blue Crush;2002;5,6
Alex & Emma;2003;5,6
The Promise;2005;5,6
Lake Placid;1999;5,6
Rugrats Go Wild;2003;5,6
Jeepers Creepers II;2003;5,6
Don't Be Afraid of the Dark;2010;5,6
Snakes on a Plane;2006;5,6
Win a Date with Tad Hamilton!;2004;5,6
The Crew;2000;5,6
Son of God;2014;5,6
The Stepfather;2009;5,6
A Guy Thing;2003;5,6
12 Rounds;2009;5,6
Survivor;2015;5,6
House on Haunted Hill;1999;5,6
I Know What You Did Last Summer;1997;5,6
Saw 3D: The Final Chapter;2010;5,6
Dickie Roberts: Former Child Star;2003;5,6
Drowning Mona;2000;5,6
Why Did I Get Married?;2007;5,6
The Skulls;2000;5,6
The Muse;1999;5,6
Listening;2014;5,6
Silent Trigger;1996;5,6
No Good Deed;2014;5,6
Bubble Boy;2001;5,6
5 Days of War;2011;5,6
The Banger Sisters;2002;5,6
Deuces Wild;2002;5,6
Malone;1987;5,6
Club Dread;2004;5,6
A Thin Line Between Love and Hate;1996;5,6
New in Town;2009;5,6
The Singing Detective;2003;5,6
Black November;2012;5,6
House at the End of the Street;2012;5,6
Diary of a Mad Black Woman;2005;5,6
Miss Julie;2014;5,6
The Players Club;1998;5,6
The Oh in Ohio;2006;5,6
Maggie;2015;5,6
Pokémon 3: The Movie;2000;5,6
All Is Bright;2013;5,6
The Last Exorcism;2010;5,6
Two Girls and a Guy;1997;5,6
Hardflip;2012;5,6
Sparkler;1997;5,6
Truth or Die;2012;5,6
Time Changer;2002;5,6
All the Boys Love Mandy Lane;2006;5,6
Mercy Streets;2000;5,6
Arnolds Park;2007;5,6
The Big Swap;1998;5,6
Closure;2007;5,6
Happy Christmas;2014;5,6
Alexander;2004;5,5
Ghostbusters;2016;5,5
Gods of Egypt;2016;5,5
Lara Croft Tomb Raider: The Cradle of Life;2003;5,5
Collateral Damage;2002;5,5
The Day the Earth Stood Still;2008;5,5
Dreamcatcher;2003;5,5
The Santa Clause 2;2002;5,5
Daddy Day Care;2003;5,5
The Scorpion King;2002;5,5
The Pacifier;2005;5,5
Æon Flux;2005;5,5
Domestic Disturbance;2001;5,5
Drive Angry;2011;5,5
Scary Movie 3;2003;5,5
Monster-in-Law;2005;5,5
Scream 3;2000;5,5
Autumn in New York;2000;5,5
Joe Somebody;2001;5,5
Whiteout;2009;5,5
Stolen;2012;5,5
Exit Wounds;2001;5,5
Ghostbusters;2016;5,5
What's the Worst That Could Happen?;2001;5,5
Virtuosity;1995;5,5
Mr 3000;2004;5,5
The Whole Ten Yards;2004;5,5
In Dreams;1999;5,5
The House Bunny;2008;5,5
Beauty Shop;2005;5,5
Piranha 3D;2010;5,5
Bringing Down the House;2003;5,5
How Stella Got Her Groove Back;1998;5,5
Ghost Ship;2002;5,5
The Man;2005;5,5
People I Know;2002;5,5
Thir13en Ghosts;2001;5,5
Troop Beverly Hills;1989;5,5
I Come with the Rain;2009;5,5
American Dreamz;2006;5,5
Southland Tales;2006;5,5
Double Impact;1991;5,5
Nowhere to Run;1993;5,5
Disturbing Behavior;1998;5,5
Whatever It Takes;2000;5,5
Blood and Chocolate;2007;5,5
Crocodile Dundee II;1988;5,5
My Bloody Valentine;2009;5,5
Urban Legend;1998;5,5
I Think I Love My Wife;2007;5,5
Invaders from Mars;1986;5,5
The Last Days on Mars;2013;5,5
White Noise;2005;5,5
Employee of the Month;2006;5,5
The Perfect Man;2005;5,5
MacGruber;2010;5,5
Atlas Shrugged II: The Strike;2012;5,5
The Open Road;2009;5,5
Breakin' All the Rules;2004;5,5
